					 Word Occurence Report
			Words with location & lines of occurence
==============================================================================
Word:                     Location:                 Lines
both                      textFile.txt              1,25,398,454,498,584,600
bottom                    textFile.txt              444
bottomless                textFile.txt              380
bough                     textFile.txt              376,737
boughs                    textFile.txt              362
bound                     textFile.txt              157,662
bowed                     textFile.txt              109,747
bowie                     textFile.txt              345
boy                       textFile.txt              1,462,707
boyhood                   textFile.txt              1
boyish                    textFile.txt              345
boys                      textFile.txt              111
bracken                   textFile.txt              349,388
braided                   textFile.txt              23
brain                     textFile.txt              620
brains                    textFile.txt              544
branch                    textFile.txt              195,353,362,368
branched                  textFile.txt              360
branches                  textFile.txt              111,357,362
bravado                   textFile.txt              345
breakdown                 textFile.txt              731
breaker                   textFile.txt              682
breakfast                 textFile.txt              3
breaking                  textFile.txt              362,470
breath                    textFile.txt              199,311
breeze                    textFile.txt              209,656
breezier                  textFile.txt              412
Briareus                  textFile.txt              111
brief                     textFile.txt              238
bright                    textFile.txt              446,508,588
brightened                textFile.txt              412
brighter                  textFile.txt              1,386
brilliant                 textFile.txt              368
brim                      textFile.txt              31
bring                     textFile.txt              406
bringing                  textFile.txt              660
brings                    textFile.txt              265,462,500,512
brink                     textFile.txt              384
Britain                   textFile.txt              27
British                   textFile.txt              1
broad                     textFile.txt              55,265,498,510,644,694
broadly                   textFile.txt              191
broke                     textFile.txt              145,223,287,416,442
broken                    textFile.txt              83,223,277,378,380,500
brood                     textFile.txt              353
brooding                  textFile.txt              510
brother                   textFile.txt              119
brought                   textFile.txt              33,101,195,347,386,618,656,678
brow                      textFile.txt              173,240,291,398
brown                     textFile.txt              5,23,133,171,181,262,281,291,392,396,398,412,416,446,608,630,632,636,646,660,678,698,704,709,723
brows                     textFile.txt              123,510
brute                     textFile.txt              111
bubble                    textFile.txt              275
buckled                   textFile.txt              345
built                     textFile.txt              45
bulk                      textFile.txt              51
bullet                    textFile.txt              656
bunting                   textFile.txt              101
buoyancy                  textFile.txt              410
buoyant                   textFile.txt              410
buried                    textFile.txt              490
burn                      textFile.txt              745
burning                   textFile.txt              470
burnt                     textFile.txt              696
burst                     textFile.txt              275,366,378
Burton                    textFile.txt              133,398,630,646,678
bury                      textFile.txt              394
bush                      textFile.txt              135,285
bushes                    textFile.txt              378
business                  textFile.txt              289,454,594,707
busy                      textFile.txt              594
But                       textFile.txt              1,5,13,15,23,27,29,33,45,49,53,55,61,71,111,121,149,151,167,171,179,181,183,191,195,197,209,211,215,223,225,226,232,236,240,246,248,264,273,277,285,289,291,293,297,305,313,327,331,345,351,362,368,370,372,378,380,386,394,396,398,406,412,424,438,446,450,454,460,462,466,470,474,476,498,500,502,508,510,512,534,538,540,542,550,560,564,570,572,578,580,586,588,598,600,602,608,612,614,618,620,622,630,632,636,638,640,642,644,650,656,660,662,668,674,678,682,694,696,698,704,707,709,723,725,729,731,733,735,737,739,741,743,745,749
butchered                 textFile.txt              538
butler                    textFile.txt              139,223,279,506,508,624,628,630
button                    textFile.txt              55
buttoned                  textFile.txt              644
